d,I(d)
1,4.691998231703864
2,4.4702305201556785
3,4.396670200881072
4,4.3545118786711345
5,4.343228569118251
6,4.33929858918644
7,4.337771595522376
8,4.334005470998141
9,4.337276897756473
10,4.328208383337992
11,4.329732121237121
12,4.332042029986238
13,4.3289285052523425
14,4.3330367728428385
15,4.322384912519919
16,4.333283405018854
17,4.32610159121324
18,4.331914399330401
19,4.3298178541604955
20,4.326951273658565
21,4.325905958912568
22,4.328300600097602
23,4.326645341871396
24,4.325499872716031
