d,I(d)
1,4.278254359507242
2,4.279044764688224
3,4.278753334657813
4,4.278393825133415
5,4.278277567305819
6,4.278029165026558
7,4.28137882954732
8,4.279328319239833
9,4.278899874437797
10,4.28007668194624
11,4.278424186960796
12,4.278643489318361
13,4.2787507017321555
14,4.27993697896625
15,4.27849274870717
16,4.279757173066429
17,4.278652547449689
18,4.279635011769473
19,4.279439059656548
20,4.278337761771051
21,4.278383242071131
22,4.280028809193068
23,4.279513760917506
24,4.279243630086064
