d,I(d)
1,2.718000419807999
2,2.2763004232230646
3,2.132744258901319
4,2.052582283733004
5,2.0395631926717543
6,2.036757531032359
7,2.030876267316336
8,2.0286675134830854
9,2.0263083868205687
10,2.0265716660663933
11,2.0230297188038744
12,2.021339402823988
13,2.02472325737019
14,2.0249398360350512
15,2.019116350317681
16,2.0244722578664445
17,2.0210961026480714
18,2.019118443288239
19,2.023614499155211
20,2.0211169075003252
21,2.02003409872888
22,2.018377122249335
23,2.024109922226085
24,2.0192638160003695
