d,I(d)
1,2.7000135825612723
2,2.3283976340600065
3,2.185728541939247
4,2.1092556357151566
5,2.101821975723447
6,2.093326528083099
7,2.087997873184886
8,2.0859755656158003
9,2.0833028315987425
10,2.0839227249969468
11,2.0811698492946036
12,2.0816544965509576
13,2.0817558596196992
14,2.0797910839582547
15,2.0830390538493964
16,2.0784757723625726
17,2.0793655428216873
18,2.077003891187126
19,2.0807805186486386
20,2.077909285418063
21,2.0774919960003855
22,2.0788827628498
23,2.076364461563262
24,2.0781160892230655
