d,I(d)
1,2.0707770893999777
2,2.0716999272084458
3,2.071317253971576
4,2.071199832002796
5,2.0714374661078554
6,2.071513039033502
7,2.0714325163330725
8,2.0720870621492287
9,2.0715288860246317
10,2.071009917734131
11,2.071154457457586
12,2.0713481688743736
13,2.0718466090241323
14,2.071364115565463
15,2.0715746088732514
16,2.0713029914824417
17,2.0712119787402603
18,2.07145654189619
19,2.0716557656884858
20,2.0711071331857394
21,2.071133207843379
22,2.071216984665504
23,2.0707742655206807
24,2.071507412831451
