d,I(d)
1,5.456308998071602
2,5.356525565600865
3,5.32596749122667
4,5.314168836589021
5,5.312334983590216
6,5.309646465401828
7,5.302334348680782
8,5.301867911493905
9,5.302503525259784
10,5.308106572971144
11,5.303571172992421
12,5.3057038574349145
13,5.305156068186223
14,5.302992787485876
15,5.302873959549283
16,5.3060376135585505
17,5.298876600520489
18,5.30182152596564
19,5.304100563091772
20,5.301045968769316
21,5.299173406472167
22,5.301355797238376
23,5.299726138842094
24,5.306708773766891
