d,I(d)
1,5.299852657501203
2,5.3005018471986505
3,5.299725702915107
4,5.30075921669611
5,5.30040601759222
6,5.29960731172282
7,5.300749208929878
8,5.2999449672497825
9,5.301293569266685
10,5.299939664728886
11,5.300369385018651
12,5.3002346753658145
13,5.3011132934889815
14,5.300850081001174
15,5.300800886768072
16,5.300423735725118
17,5.300377660943132
18,5.300005215443856
19,5.301157694690135
20,5.300108252560312
21,5.300521702555166
22,5.3005294739230155
23,5.301054506689493
24,5.3008077877374316
