d,I(d)
1,3.489572653244408
2,3.225145411704192
3,3.178928786186071
4,3.1356955615978124
5,3.125401367217442
6,3.1264047206516943
7,3.1267481560178814
8,3.11593053490035
9,3.123821011741005
10,3.1171792302677668
11,3.116294040982037
12,3.112761040952421
13,3.1197888833726166
14,3.1130484033733037
15,3.1124934311043417
16,3.1161520681332906
17,3.117699704562057
18,3.117199699825163
19,3.1147677333598764
20,3.116798166993115
21,3.1126075967924165
22,3.116573445239903
23,3.114245053545954
24,3.109344396981515
