d,I(d)
1,3.1105454460247453
2,3.112164951689489
3,3.1099824525995627
4,3.110785436464894
5,3.110335512398356
6,3.110064725980133
7,3.109902576715815
8,3.1098570572688713
9,3.111660515548034
10,3.1113880261213973
11,3.11169585843614
12,3.1101232327377994
13,3.110643733840228
14,3.110719003944888
15,3.1098212955219404
16,3.1105290816377438
17,3.1102554567693135
18,3.1104623797722413
19,3.1109807256662156
20,3.1097108754139047
21,3.110756719488042
22,3.110361090635865
23,3.1117857242116522
24,3.110462572014422
