d,I(d)
1,3.7498235129757798
2,3.306073521364351
3,3.208963256389872
4,3.176102668021599
5,3.1636358552773935
6,3.160092482281519
7,3.1513759234344025
8,3.1482567796025926
9,3.148051878077908
10,3.1450627312510426
11,3.142919317603699
12,3.1435533064468113
13,3.1394314744253453
14,3.139995898350141
15,3.1380315260493474
16,3.139379560726065
17,3.1407365321503904
18,3.1368105159997577
19,3.1368682585397627
20,3.1339090254986526
21,3.1334417045986687
22,3.1352438345646343
23,3.1341690864797114
24,3.130951623587454
