d,I(d)
1,3.091898448761381
2,3.09183383096945
3,3.0918971627628147
4,3.0921525006329267
5,3.091571002121845
6,3.0915453922026157
7,3.0918097798135333
8,3.092040745156455
9,3.0919610296074302
10,3.092079081304976
11,3.0919966682320252
12,3.091913044127795
13,3.092267062858465
14,3.0920437021880534
15,3.0921156706889867
16,3.092136880929139
17,3.0919266211570298
18,3.0925817151953967
19,3.0924204087165554
20,3.092078446166753
21,3.091784132943812
22,3.0918381015453518
23,3.0918411412819298
24,3.0917409920424888
